Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_het_group2-group4_process5_02-7-25	Run 1	-6220.76	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(4.86154, 60.27279, 1.56062, 39.99301, 20.21507, 3.26e-13, 0.001, 0.10356, 7.99507, 200.0, 4.25787, 3.6597, 0.2204, 0.35459)	6453.555627667049
output_proj_het_group2-group4_process5_02-7-25	Run 2	-8082.24	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(200.0, 0.25631, 0.75159, 0.7633, 2.52588, 3.24393, 0.57844, 2.12038, 17.04134, 25.04194, 2.67958, 1.66095, 0.00118, 0.45542)	7754.967654861789
output_proj_het_group1-group2_process1_02-7-25	Run 7	-5993.41	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.96767, 200.0, 1.23942, 30.2965, 12.65667, 0.04285, 0.10766, 0.21289, 13.63126, 23.12822, 0.85966, 4.58639, 0.07328, 0.39511)	6801.46937278818
output_proj_het_group1-group2_process1_02-7-25	Run 5	-6078.73	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(2.04034, 13.43533, 1.79245, 24.4442, 44.35519, 7.11432, 5.99625, 0.0286, 13.56279, 4.47845, 5.10812, 7.5858, 0.68876, 0.39878)	4889.56175578859
output_proj_het_group1-group2_process1_02-7-25	Run 3	-6376.96	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.66129, 173.38352, 1.25738, 15.55224, 13.43295, 0.01618, 1.00614, 0.02279, 19.65671, 200.0, 10.0, 7.10563, 0.26816, 0.45927)	8149.775134351772
output_proj_het_group1-group2_process1_02-7-25	Run 8	-6517.06	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.92071, 200.0, 1.05425, 13.60545, 16.96798, 1.32473, 0.00e+00, 0.05754, 200.0, 26.93443, 1.6486, 5.03996, 0.57246, 0.40568)	7272.289931452103
output_proj_het_group1-group2_process1_02-7-25	Run 1	-6993.42	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.13005, 200.0, 0.73089, 2.18752, 200.0, 0.29714, 1.08784, 0.85403, 15.96955, 16.17424, 10.0, 4.71661, 0.01081, 0.58059)	7973.219985483842
output_proj_het_group2-group4_process4_02-7-25	Run 8	-4968.81	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(6.32731, 14.44054, 1.92073, 28.22437, 38.63484, 6.20663, 4.57565, 0.01752, 5.75246, 9.48295, 10.0, 8.01703, 0.6528, 0.41495)	5587.988121636843
output_proj_het_group2-group4_process4_02-7-25	Run 1	-5005.54	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(5.86764, 15.57864, 1.83121, 29.62021, 34.67473, 6.88335, 5.22119, 0.01842, 4.53875, 16.01567, 10.0, 7.55873, 0.65852, 0.41672)	5797.954880983631
output_proj_het_group2-group4_process4_02-7-25	Run 3	-5441.61	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(12.40377, 10.78146, 2.64468, 23.99574, 110.82557, 7.08313, 2.46175, 0.01084, 3.43533, 1.0, 10.0, 10.0, 0.52603, 0.34194)	4276.024241135577
output_proj_het_group2-group4_process4_02-7-25	Run 2	-8110.89	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(200.0, 0.03417, 0.83309, 0.95781, 1.95792, 2.57085, 0.75254, 2.46976, 18.5213, 28.31353, 1.97843, 1.0741, 0.00097, 0.43118)	6897.493126712432
